width (um),neff - mode1,TE pol fraction - mode1,neff - mode2,TE pol fraction - mode2,neff - mode3,TE pol fraction - mode3,neff - mode4,TE pol fraction - mode4,neff - mode5,TE pol fraction - mode5,neff - mode6,TE pol fraction - mode6,neff - mode7,TE pol fraction - mode7,neff - mode8,TE pol fraction - mode8
1.62,2.807650012,0.999657559,2.686662198,0.998320366,2.474077976,0.994434084,2.150241685,0.979762795,2.018579785,0.017422287,1.883297982,0.069171017,1.697627805,0.906207191,1.658432884,0.143861983
1.63,2.80814691,0.999662819,2.688722927,0.998351032,2.479022532,0.994569829,2.159871591,0.98065161,2.019124271,0.017227732,1.88540955,0.068704611,1.712581686,0.910586808,1.662801017,0.142879445
1.64,2.808595968,0.999670257,2.690585945,0.998390697,2.483494823,0.994723733,2.168591297,0.981434047,2.019575127,0.017052534,1.887235167,0.068310408,1.726215219,0.914152448,1.666679996,0.141977046
1.65,2.80907398,0.99967521,2.692566728,0.998419359,2.488240567,0.994848671,2.177824353,0.9821834,2.02009836,0.016886133,1.889280945,0.06790949,1.740899288,0.917837218,1.670930576,0.140997079
1.66,2.809508156,0.999682331,2.694366509,0.998457052,2.492554634,0.994992698,2.186225186,0.982870057,2.02053481,0.016726469,1.891063556,0.067613928,1.754315015,0.920652981,1.674719783,0.140092548
1.67,2.809970994,0.999687223,2.696282718,0.998484932,2.497138304,0.995111294,2.19512893,0.983531815,2.021043795,0.016575496,1.893062865,0.067301011,1.768733829,0.923634857,1.678884626,0.139107745
1.68,2.810388167,0.999693818,2.698010811,0.998519713,2.501275379,0.995242847,2.203177229,0.984127996,2.021461491,0.016428408,1.894795252,0.067192976,1.78179404,0.925389019,1.682555754,0.138215761
1.69,2.810835671,0.999698634,2.699862017,0.99854677,2.505696975,0.995355281,2.211752894,0.984718408,2.021956995,0.016288189,1.896755168,0.067052267,1.795871929,0.927406784,1.686637987,0.137229204
1.7,2.811237498,0.999704754,2.701525352,0.99857894,2.509673913,0.995475846,2.219480132,0.985243946,2.022357251,0.0161498,1.898449128,0.067306261,1.808551691,0.927548915,1.690191856,0.13635299
1.71,2.811668533,0.999709315,2.703307108,0.998604387,2.513923914,0.995580086,2.227711301,0.985766637,2.022835193,0.016018879,1.900367759,0.067586586,1.822192532,0.927781233,1.694161975,0.13537831
1.72,2.812057561,0.999715171,2.704916253,0.998634968,2.517766057,0.995693182,2.235165209,0.986242725,2.023223821,0.015885655,1.902061624,0.068668434,1.834500255,0.924802746,1.697632393,0.134509877
1.73,2.812472945,0.999719484,2.706632087,0.99865887,2.521853509,0.995789806,2.243069995,0.986708589,2.023685176,0.015761861,1.903970169,0.070158591,1.847660444,0.920687959,1.701493049,0.133549291
1.74,2.812849687,0.999725101,2.708189274,0.998688016,2.525566669,0.995896189,2.250262291,0.987142536,2.024062702,0.015632888,1.905725722,0.073871559,1.859518563,0.908826636,1.70488196,0.132691694
1.75,2.813250156,0.999729214,2.709842362,0.998710634,2.529499736,0.995986268,2.257857298,0.987560947,2.024508725,0.015514488,1.907731851,0.080471535,1.872088562,0.888371644,1.708641206,0.131745739
1.76,2.813615132,0.999734571,2.711349843,0.998738283,2.533089716,0.996086065,2.26479971,0.987957372,2.024875231,0.015389503,1.909798888,0.098067946,1.883238177,0.835919702,1.711945406,0.130903676
1.77,2.814001486,0.99973847,2.712943591,0.998759585,2.536876952,0.996169839,2.272101929,0.988334374,2.02530669,0.015275474,1.912532834,0.148221471,1.894591377,0.709973363,1.715605983,0.12997477
1.78,2.814355083,0.999743608,2.714403077,0.998785951,2.540348335,0.996263885,2.278804315,0.988698375,2.025662619,0.015154153,1.916815648,0.318507053,1.903126226,0.434142376,1.718827816,0.129151445
1.79,2.81472797,0.999747296,2.715940286,0.998805983,2.543996945,0.996341727,2.285828699,0.989038743,2.026080458,0.01504365,1.924497786,0.640238952,1.909051779,0.184281628,1.722396163,0.128241398
1.8,2.81507066,0.999752237,2.717353806,0.998831192,2.547354892,0.996430621,2.292301521,0.989374643,2.026425981,0.014925898,1.934107738,0.814983453,1.911861744,0.108039275,1.725534512,0.127441588
1.81,2.815430546,0.99975574,2.718836483,0.998850106,2.550870011,0.996503255,2.299058514,0.989683853,2.026830179,0.014819,1.944847186,0.893626454,1.914251601,0.080744599,1.729004313,0.126554857
1.82,2.815762924,0.99976048,2.72020659,0.998874159,2.554121037,0.996587148,2.305315361,0.98999375,2.02716635,0.014704062,1.955227301,0.922552017,1.915909804,0.071495048,1.732071106,0.125782554
1.83,2.816110467,0.99976379,2.721637546,0.998891936,2.557509783,0.996654702,2.311819656,0.99027454,2.027557931,0.01459974,1.966066816,0.940907872,1.917739777,0.065775787,1.735452741,0.124921396
1.84,2.816432877,0.99976836,2.722965734,0.998914996,2.560657748,0.996734259,2.317868551,0.990562092,2.027884694,0.014488147,1.97629549,0.949467699,1.919170913,0.063122389,1.738443587,0.124186131
1.85,2.816768568,0.999771504,2.724347072,0.998931792,2.56392545,0.996797383,2.324131073,0.990818415,2.028264102,0.014386213,1.986867195,0.956622611,1.920820085,0.060884393,1.741738543,0.123356286
1.86,2.81708147,0.999775895,2.725635312,0.998953837,2.566975384,0.996872673,2.329982557,0.991085133,2.028581918,0.01427778,1.996824724,0.960542062,1.922157248,0.059628968,1.744658514,0.122670068
1.87,2.817405911,0.999778897,2.726969586,0.998969776,2.570128402,0.996931901,2.336016198,0.991320244,2.028949871,0.014177688,2.007063403,0.964342071,1.923709142,0.058384624,1.747872893,0.121879083
1.88,2.817709601,0.999783105,2.728219177,0.998990804,2.573083719,0.997003042,2.34167766,0.991567582,2.029258879,0.01407268,2.016723891,0.966681842,1.924986344,0.057584024,1.750723362,0.121263056
1.89,2.818023263,0.99978597,2.729508405,0.99900593,2.576127201,0.99705864,2.347493218,0.991783597,2.029615559,0.013975199,2.026617446,0.969110299,1.926467415,0.056732235,1.75385468,0.120531334
1.9,2.818318124,0.999790007,2.730720975,0.999026012,2.578991987,0.99712596,2.352973023,0.99201353,2.035978558,0.970756392,2.029916385,0.013872636,1.927700057,0.056118398,1.756647189,0.120014931
1.91,2.818621397,0.999792733,2.731966827,0.999040333,2.581930161,0.997178094,2.358579279,0.9922122,2.045527111,0.972500206,2.030262483,0.013776748,1.929125013,0.05545168,1.75970576,0.119369451
1.92,2.818907846,0.999796617,2.733144161,0.999059564,2.584708915,0.997241967,2.363886756,0.992426547,2.054597003,0.973775044,2.030555205,0.013677498,1.930317917,0.054933519,1.762441982,0.119019509
1.93,2.819201203,0.999799201,2.734348649,0.999073079,2.587546828,0.997290754,2.369294137,0.992609274,2.063810674,0.975122144,2.030891186,0.013583092,1.931694156,0.054367656,1.765434421,0.118523562
1.94,2.819479536,0.999802952,2.735492008,0.99909156,2.590242755,0.997351556,2.374435977,0.992809769,2.072595961,0.976169882,2.03117607,0.013487168,1.932850956,0.053904992,1.76812561,0.118471659
1.95,2.819763365,0.999805413,2.736656781,0.999104374,2.592984537,0.997397391,2.379652969,0.992978438,2.081484344,0.97726128,2.031502183,0.013394661,1.934182174,0.053402002,1.771059855,0.118278906
1.96,2.820033921,0.999809024,2.73776762,0.999122089,2.595601316,0.997455179,2.384636872,0.993165964,2.089995646,0.978154558,2.031779675,0.013301604,1.935306357,0.052973536,1.773729109,0.11883212
1.97,2.820308702,0.99981138,2.738894695,0.99913429,2.598251936,0.997498405,2.389673511,0.993322252,2.098572773,0.979068716,2.032096116,0.013211331,1.936594929,0.052513392,1.776623897,0.119355733
1.98,2.820571695,0.999814848,2.739973943,0.999151237,2.600791995,0.997553247,2.394504749,0.99349758,2.10681765,0.979847274,2.032366688,0.013120821,1.937689334,0.05210794,1.77931778,0.1214083
1.99,2.820837792,0.999817096,2.741064881,0.999162827,2.603355393,0.997593951,2.39936928,0.99364237,2.115096305,0.980629092,2.032674376,0.01303216,1.938940285,0.051676941,1.78223641,0.124072624
2,2.821093514,0.999820437,2.742113774,0.999179082,2.605821796,0.99764614,2.404054092,0.993806795,2.12308394,0.981319617,2.032937749,0.012944908,1.940003985,0.051290432,1.785068392,0.131088699
2.01,2.821351234,0.999822577,2.743169878,0.999190072,2.608301243,0.997684431,2.408753296,0.993940985,2.131074608,0.981999246,2.033236879,0.012858056,1.941218846,0.050881708,1.788203177,0.143018494
2.02,2.821600004,0.999825801,2.744189769,0.999205698,2.610697363,0.997734203,2.413298615,0.994095548,2.138816325,0.98261827,2.033493476,0.012774048,1.942253718,0.050510233,1.791662433,0.175889712
2.03,2.821849701,0.999827839,2.745212534,0.999216119,2.613096565,0.997770237,2.417840065,0.994220037,2.146531381,0.983215642,2.033784148,0.012689382,1.943433117,0.050120125,1.796035794,0.253864019
2.04,2.82209176,0.999830953,2.746204452,0.999231152,2.615424994,0.997817756,2.422251302,0.994365575,2.154036162,0.983775574,2.034034469,0.012608558,1.944441485,0.049760445,1.802397885,0.435751748
2.05,2.822333725,0.999832899,2.747195103,0.999241064,2.61774699,0.99785176,2.426641201,0.994481388,2.161485738,0.984305635,2.034316788,0.012526398,1.945585996,0.049386395,1.810814595,0.651161606
2.06,2.82256935,0.999835902,2.748160223,0.999255509,2.620010671,0.997897091,2.430924456,0.994618431,2.168764183,0.984815065,2.034561314,0.01244895,1.946569917,0.049036447,1.820712919,0.782565942
2.07,2.822803959,0.999837769,2.749120345,0.999264974,2.62225933,0.997929298,2.435170556,0.994726553,2.175961331,0.985289548,2.034835689,0.012369417,1.947681415,0.048675888,1.83098529,0.856027503
2.08,2.823011379,0.999840339,2.749969491,0.999277323,2.624249117,0.997967951,2.438930138,0.994842679,2.182339599,0.985713222,2.035052291,0.012302444,1.948552708,0.048367082,1.840479874,0.888196773
2.09,2.823239005,0.999842027,2.750900561,0.999285914,2.626427734,0.997997326,2.443038215,0.994941774,2.189291747,0.986148106,2.03530572,0.012224182,1.949585518,0.048022861,1.850874981,0.914113061
2.1,2.823462844,0.999844924,2.751816748,0.999299717,2.628573826,0.998039845,2.447090812,0.995065958,2.196165,0.986569754,2.035553097,0.012156829,1.950571687,0.047685235,1.861412157,0.925255434
2.11,2.823683981,0.99984648,2.75272094,0.99930764,2.630688131,0.998066917,2.451073561,0.995156733,2.202898404,0.986956592,2.035800358,0.012081902,1.951578152,0.047352989,1.871690855,0.936589478
2.12,2.823901663,0.999849335,2.753611525,0.999321177,2.63277254,0.998108259,2.455004668,0.995275808,2.209555416,0.987351087,2.036041505,0.01202115,1.952537913,0.047021926,1.881988215,0.941925509
2.13,2.824116768,0.99985079,2.754490731,0.999328583,2.63482706,0.998133488,2.458870859,0.995359683,2.216084663,0.98769813,2.036282939,0.011950663,1.95351923,0.04670107,1.892058299,0.948137164
2.14,2.824328304,0.999853578,2.755355796,0.999341753,2.636850149,0.998173409,2.462681693,0.995473264,2.222528561,0.988066414,2.036518178,0.011898939,1.954453317,0.046375856,1.90207451,0.951358562
2.15,2.824537101,0.999854966,2.756208892,0.999348792,2.638842256,0.998197232,2.466426371,0.995551548,2.22884461,0.988381182,2.036753231,0.011833902,1.955407815,0.046065866,1.911871472,0.955323413
2.16,2.824743214,0.999857664,2.757051447,0.99936149,2.640811307,0.998235492,2.470131369,0.995659261,2.235101368,0.988723384,2.036983888,0.011796562,1.956319727,0.045746104,1.921628124,0.957531364
2.17,2.824946838,0.999859038,2.757883108,0.999368404,2.642752089,0.998258599,2.473775849,0.995733828,2.241240861,0.989013151,2.037213628,0.011741372,1.957250754,0.045453642,1.931185252,0.960282801
2.18,2.825146819,0.999861598,2.758700275,0.999380432,2.644660445,0.99829469,2.477362708,0.99583465,2.247290009,0.98932845,2.037439627,0.011726379,1.958138886,0.045132651,1.940636863,0.961921571
2.19,2.825345246,0.999862935,2.759510427,0.999387128,2.646549825,0.998316863,2.480907141,0.995905172,2.25325367,0.98959463,2.037664292,0.011689209,1.959047293,0.044950561,1.949940256,0.963578059
2.2,2.825539527,0.999865387,2.760303995,0.999398618,2.648401781,0.998351175,2.484384277,0.996000204,2.259109911,0.989887118,2.037886861,0.011714951,1.959913496,0.04523634,1.959100247,0.962713536
2.21,2.82573228,0.999866654,2.761090702,0.999404946,2.650235302,0.99837204,2.487820481,0.996065999,2.264884212,0.990130296,2.03810686,0.011714358,1.968125878,0.966067768,1.960791759,0.044412593
2.22,2.825921727,0.999869039,2.761864242,0.999416087,2.652039339,0.998405105,2.491204223,0.99615663,2.270575791,0.990404127,2.038328181,0.011828219,1.977027665,0.967316519,1.961641744,0.04394741
2.23,2.826109754,0.999870259,2.762631391,0.999422164,2.653826133,0.998425029,2.494549513,0.996218812,2.276190041,0.99062882,2.038545385,0.011923949,1.985803772,0.968192723,1.962499319,0.043678858
2.24,2.82629379,0.999872559,2.763382579,0.999432874,2.655576953,0.998456625,2.497830298,0.99630457,2.28170168,0.990883588,2.038769371,0.012269819,1.994421899,0.968051805,1.963328692,0.043374202
